clu.sa2,size,sa1_ratio,AllenAnnot,AllenAnnot_quality,AllenAnnot_ratio,L3Annot,L3Annot_quality,L3Annot_ratio,L2Annot,L2Annot_quality,L2Annot_ratio,class,class_quality,class_ratio,mainclass,mainclass_quality,mainclass_ratio
1-1-1,54637,0.93,Oligo_NN,high,1,MOL2,low,0.18,OGC2,high,0.93,NN,high,1,NN,high,1
1-1-2,43984,0.93,Oligo_NN,high,1,MOL2,low,0.39,OGC2,high,0.91,NN,high,1,NN,high,1
1-10-1,3301,0.93,Oligo_NN,high,1,MFOL1,low,0.18,OGC2,high,0.81,NN,high,1,NN,high,1
1-11-1,3273,0.94,Oligo_NN,high,1,MOL2,low,0.21,OGC2,high,0.82,NN,high,1,NN,high,1
1-12-1,3289,0.95,Oligo_NN,high,1,MOL2,low,0.21,OGC2,high,0.94,NN,high,1,NN,high,1
1-13-1,3206,0.95,Oligo_NN,high,1,MFOL1,low,0.28,OGC2,high,0.96,NN,high,1,NN,high,1
1-14-1,3082,0.94,Oligo_NN,high,1,MOL2,low,0.21,OGC2,high,0.94,NN,high,1,NN,high,1
1-15-1,3023,0.94,Oligo_NN,high,1,MOL2,low,0.21,OGC2,high,0.92,NN,high,1,NN,high,1
1-16-1,2819,0.94,Oligo_NN,high,1,MOL2,low,0.19,OGC2,high,0.85,NN,high,1,NN,high,1
1-17-1,2680,0.94,Oligo_NN,high,1,MFOL1,low,0.2,OGC2,high,0.88,NN,high,1,NN,high,1
1-18-1,2617,0.92,Oligo_NN,high,1,MOL2,low,0.19,OGC2,high,0.91,NN,high,1,NN,high,1
1-19-1,2396,0.94,Oligo_NN,high,1,MOL1,low,0.25,OGC2,high,0.73,NN,high,1,NN,high,1
1-2-1,52331,0.98,Oligo_NN,high,1,MOL1,high,0.96,OGC1,high,0.96,NN,high,1,NN,high,1
1-2-2,15636,0.89,Oligo_NN,high,1,MOL1,high,1,OGC1,high,1,NN,high,1,NN,high,1
1-20-1,2380,0.94,Oligo_NN,high,1,MOL2,low,0.2,OGC2,high,0.82,NN,high,1,NN,high,1
1-21-1,2259,0.94,Oligo_NN,high,1,MOL2,low,0.21,OGC2,high,0.85,NN,high,1,NN,high,1
1-22-1,2210,0.93,Oligo_NN,high,1,MOL2,low,0.24,OGC2,high,0.82,NN,high,1,NN,high,1
1-23-1,2067,0.93,Oligo_NN,high,1,MOL2,low,0.2,OGC2,high,0.84,NN,high,1,NN,high,1
1-24-1,1965,0.9,Oligo_NN,high,1,MFOL1,low,0.21,OGC2,high,0.92,NN,high,1,NN,high,1
