pL4,size,n1,n2,r1,r2,rmillion,gL4
10-1-1-1,33406,20216,13190,0.605160749565946,0.394839250434054,139.680009,neuron.10-1-1-1
10-1-1-2,10076,5895,4181,0.585053592695514,0.414946407304486,52.617404,neuron.10-1-1-2
10-1-2-1,2022,77,1945,0.0380811078140455,0.961918892185954,6.980453,neuron.10-1-2-1
10-2-1-1,32627,19399,13228,0.594568915315536,0.405431084684464,144.834115,neuron.10-2-1-1
10-2-1-2,5355,2937,2418,0.548459383753501,0.451540616246499,28.076161,neuron.10-2-1-2
10-2-2-1,1529,8,1521,0.0052321778940484,0.994767822105952,5.585372,neuron.10-2-2-1
10-3-1-1,4811,12,4799,0.00249428393265433,0.997505716067346,16.438583,neuron.10-3-1-1
10-3-1-2,1940,7,1933,0.00360824742268041,0.99639175257732,6.577374,neuron.10-3-1-2
10-3-2-1,1535,3,1532,0.00195439739413681,0.998045602605863,5.605432,neuron.10-3-2-1
10-3-2-2,696,6,690,0.00862068965517241,0.991379310344828,1.862674,neuron.10-3-2-2
12-1-1-1,9067,4402,4665,0.485496856733208,0.514503143266792,33.986361,neuron.12-1-1-1
12-1-1-2,8982,4505,4477,0.501558672901358,0.498441327098642,60.993063,neuron.12-1-1-2
12-1-1-3,6194,3110,3084,0.502098805295447,0.497901194704553,32.841432,neuron.12-1-1-3
12-1-1-4,5934,3082,2852,0.51937984496124,0.48062015503876,34.896758,neuron.12-1-1-4
12-1-1-5,4804,2549,2255,0.53059950041632,0.46940049958368,29.155763,neuron.12-1-1-5
12-1-1-6,4166,2121,2045,0.509121459433509,0.490878540566491,15.734281,neuron.12-1-1-6
12-1-1-7,1335,681,654,0.510112359550562,0.489887640449438,7.365934,neuron.12-1-1-7
12-1-2-1,9762,4809,4953,0.492624462200369,0.507375537799631,54.731842,neuron.12-1-2-1
12-1-2-2,9415,4699,4716,0.499097185342538,0.500902814657461,55.516673,neuron.12-1-2-2
12-1-2-3,5651,3075,2576,0.544151477614581,0.455848522385419,27.740513,neuron.12-1-2-3
12-2-1-1,4162,2034,2128,0.488707352234503,0.511292647765497,19.545066,neuron.12-2-1-1
12-2-1-2,3380,1750,1630,0.517751479289941,0.482248520710059,22.626809,neuron.12-2-1-2
12-2-1-3,2565,1284,1281,0.500584795321637,0.499415204678363,16.99651,neuron.12-2-1-3
12-2-2-1,7738,3757,3981,0.485525975704316,0.514474024295684,39.934974,neuron.12-2-2-1
12-2-3-1,466,179,287,0.38412017167382,0.61587982832618,1.317486,neuron.12-2-3-1
12-2-3-2,203,110,93,0.541871921182266,0.458128078817734,0.956798,neuron.12-2-3-2
12-3-1-1,856,477,379,0.557242990654206,0.442757009345794,3.376238,neuron.12-3-1-1
12-3-1-2,610,282,328,0.462295081967213,0.537704918032787,3.12365,neuron.12-3-1-2
12-3-2-1,425,223,202,0.524705882352941,0.475294117647059,1.919143,neuron.12-3-2-1
12-3-2-2,302,190,112,0.629139072847682,0.370860927152318,0.687047,neuron.12-3-2-2
12-3-2-3,251,140,111,0.557768924302789,0.442231075697211,0.470473,neuron.12-3-2-3
12-4-1-1,816,484,332,0.593137254901961,0.406862745098039,6.298178,neuron.12-4-1-1
12-4-1-2,642,423,219,0.658878504672897,0.341121495327103,5.004634,neuron.12-4-1-2
12-4-2-1,386,215,171,0.55699481865285,0.44300518134715,3.480874,neuron.12-4-2-1
13-1-1-1,4758,2411,2347,0.506725514922236,0.493274485077764,33.947812,neuron.13-1-1-1
13-1-1-2,4464,2168,2296,0.485663082437276,0.514336917562724,25.812128,neuron.13-1-1-2
13-1-1-3,3706,1839,1867,0.496222342147868,0.503777657852132,23.405603,neuron.13-1-1-3
13-1-1-4,2260,1087,1173,0.480973451327434,0.519026548672566,16.027333,neuron.13-1-1-4
13-1-1-5,2179,1221,958,0.560348783845801,0.439651216154199,14.069793,neuron.13-1-1-5
13-1-2-1,2141,1055,1086,0.492760392340028,0.507239607659972,13.157717,neuron.13-1-2-1
13-1-2-2,1498,639,859,0.426568758344459,0.573431241655541,11.316936,neuron.13-1-2-2
13-2-1-1,4303,2185,2118,0.507785266093423,0.492214733906577,25.550337,neuron.13-2-1-1
13-2-2-1,3922,1914,2008,0.488016318204997,0.511983681795003,22.953215,neuron.13-2-2-1
13-2-3-1,2733,1360,1373,0.497621661178192,0.502378338821807,16.986717,neuron.13-2-3-1
13-3-1-1,3087,1618,1469,0.524133462908973,0.475866537091027,15.52442,neuron.13-3-1-1
13-3-1-2,1513,893,620,0.590218109715796,0.409781890284204,9.762003,neuron.13-3-1-2
13-3-1-3,545,317,228,0.581651376146789,0.418348623853211,7.771925,neuron.13-3-1-3
13-3-2-1,2792,1379,1413,0.4939111747851,0.5060888252149,12.470515,neuron.13-3-2-1
13-3-2-2,1381,618,763,0.447501810282404,0.552498189717596,6.346609,neuron.13-3-2-2
13-3-2-3,902,469,433,0.519955654101996,0.480044345898004,6.618845,neuron.13-3-2-3
13-4-1-1,2859,1463,1396,0.511717383700595,0.488282616299405,22.110582,neuron.13-4-1-1
13-4-1-2,2515,1333,1182,0.530019880715706,0.469980119284294,15.109158,neuron.13-4-1-2
13-4-2-1,644,310,334,0.481366459627329,0.518633540372671,3.2202,neuron.13-4-2-1
13-4-2-2,631,357,274,0.565768621236133,0.434231378763867,8.32251,neuron.13-4-2-2
13-4-2-3,477,227,250,0.475890985324948,0.524109014675052,2.969747,neuron.13-4-2-3
13-4-2-4,380,198,182,0.521052631578947,0.478947368421053,1.843138,neuron.13-4-2-4
13-4-2-5,298,139,159,0.466442953020134,0.533557046979866,1.613315,neuron.13-4-2-5
13-5-1-1,1520,753,767,0.495394736842105,0.504605263157895,13.79805,neuron.13-5-1-1
13-5-2-1,1418,669,749,0.47179125528914,0.52820874471086,11.482943,neuron.13-5-2-1
13-5-3-1,1126,602,524,0.534635879218472,0.465364120781528,6.861409,neuron.13-5-3-1
13-5-4-1,992,487,505,0.490927419354839,0.509072580645161,7.830698,neuron.13-5-4-1
13-5-5-1,955,456,499,0.477486910994764,0.522513089005236,8.925214,neuron.13-5-5-1
13-5-6-1,494,223,271,0.451417004048583,0.548582995951417,3.122974,neuron.13-5-6-1
13-5-7-1,323,151,172,0.46749226006192,0.532507739938081,3.478348,neuron.13-5-7-1
13-5-8-1,284,143,141,0.503521126760563,0.496478873239437,2.703508,neuron.13-5-8-1
13-6-1-1,3579,1795,1784,0.501536742106734,0.498463257893266,23.433118,neuron.13-6-1-1
13-6-2-1,1670,804,866,0.481437125748503,0.518562874251497,10.664186,neuron.13-6-2-1
13-6-2-2,1554,797,757,0.512870012870013,0.487129987129987,9.888759,neuron.13-6-2-2
13-7-1-1,2498,1279,1219,0.512009607686149,0.487990392313851,35.978498,neuron.13-7-1-1
13-7-1-2,944,480,464,0.508474576271186,0.491525423728814,17.806445,neuron.13-7-1-2
13-7-1-3,503,292,211,0.58051689860835,0.41948310139165,9.276056,neuron.13-7-1-3
13-7-2-1,856,421,435,0.491822429906542,0.508177570093458,15.288933,neuron.13-7-2-1
13-7-2-2,855,438,417,0.512280701754386,0.487719298245614,11.401592,neuron.13-7-2-2
13-7-3-1,605,237,368,0.391735537190083,0.608264462809917,5.757263,neuron.13-7-3-1
13-7-3-2,426,180,246,0.422535211267606,0.577464788732394,3.863361,neuron.13-7-3-2
13-8-1-1,5684,2919,2765,0.513546798029557,0.486453201970443,36.340934,neuron.13-8-1-1
13-8-2-1,891,449,442,0.503928170594837,0.496071829405163,7.52299,neuron.13-8-2-1
14-1-1-1,5786,2966,2820,0.512616660905634,0.487383339094366,36.968812,neuron.14-1-1-1
14-1-1-2,5449,2711,2738,0.497522481189209,0.502477518810791,17.203437,neuron.14-1-1-2
14-1-1-3,3839,2011,1828,0.523834331857254,0.476165668142746,32.099082,neuron.14-1-1-3
14-1-1-4,3654,1762,1892,0.482211275314724,0.517788724685276,25.225241,neuron.14-1-1-4
14-1-2-1,3580,1788,1792,0.499441340782123,0.500558659217877,30.609128,neuron.14-1-2-1
14-1-2-2,3357,1688,1669,0.502829907655645,0.497170092344355,19.332857,neuron.14-1-2-2
14-1-3-1,3736,1902,1834,0.509100642398287,0.490899357601713,26.318038,neuron.14-1-3-1
14-2-1-1,4116,2104,2012,0.511175898931001,0.488824101068999,24.207484,neuron.14-2-1-1
14-2-1-2,1992,1073,919,0.538654618473896,0.461345381526104,12.488462,neuron.14-2-1-2
14-2-1-3,1150,534,616,0.464347826086957,0.535652173913043,9.040207,neuron.14-2-1-3
14-2-2-1,2062,1041,1021,0.504849660523763,0.495150339476237,10.933567,neuron.14-2-2-1
14-2-2-2,1583,826,757,0.52179406190777,0.47820593809223,10.778066,neuron.14-2-2-2
14-2-2-3,1111,563,548,0.506750675067507,0.493249324932493,6.861579,neuron.14-2-2-3
14-2-2-4,1014,499,515,0.492110453648915,0.507889546351085,7.718825,neuron.14-2-2-4
