"cl"	"cluster_id"	"cluster_id_label"	"supertype_id"	"supertype_label"	"supertype_id_label"	"subclass_id"	"subclass_label"	"subclass_id_label"	"class_label"	"class_id"	"class_id_label"	"anatomical_annotation"	"notes"	"CCF_broad.freq"	"CCF_acronym.freq"	"v3.size"	"v2.size"	"multiome.size"	"cluster.markers"	"merfish.markers"	"F"	"M"	"sex.bias"	"Dark"	"Light"	"nt_type_label"	"nt_type_combo_label"
128	1	"0001 CLA-EPd-CTX Car3 Glut_1"	1	"CLA-EPd-CTX Car3 Glut_1"	"0001 CLA-EPd-CTX Car3 Glut_1"	1	"CLA-EPd-CTX Car3 Glut"	"001 CLA-EPd-CTX Car3 Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"CLA-EPd-iCTX"	NA	"Isocortex:0.57,CTXsp:0.21,OLF:0.2"	"EPd:0.11,OLF:0.11,SSs6a:0.1,CLA:0.09,PIR:0.09,AId6a:0.07,MOp6a:0.06,GU6a:0.06,AIv5:0.04,VISC6a:0.03,SSp-m6a:0.03,AIv6a:0.02"	469	3793	0	"Gm45623,Nr4a2,Lgr5,Synpr"	"Col24a1,Smoc2,Slc17a7,Mctp2,Irs4,Synpr"	0.5	0.5	""	0.02	0.98	"Glut"	"Glut"
129	2	"0002 CLA-EPd-CTX Car3 Glut_1"	1	"CLA-EPd-CTX Car3 Glut_1"	"0001 CLA-EPd-CTX Car3 Glut_1"	1	"CLA-EPd-CTX Car3 Glut"	"001 CLA-EPd-CTX Car3 Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"CLA-iCTX, EPd po"	NA	"Isocortex:0.64,CTXsp:0.24"	"CLA:0.12,EPd:0.1,GU6a:0.07,SSs6a:0.06,VISC6a:0.06,TEa6a:0.06,TEa5:0.05,AId6a:0.05,AIp6a:0.05,ECT6a:0.03,ECT5:0.03,ee:0.02,ENTl6a:0.02,AUDv5:0.02,scwm:0.02,ENTl5:0.01,AUDv6a:0.01,SSs6b:0.01"	217	3005	0	"Car3,Slc17a7,4930407I19Rik"	"Osr1,Kcnip1,Irs4"	0.52	0.48	""	0.02	0.98	"Glut"	"Glut"
130	3	"0003 CLA-EPd-CTX Car3 Glut_1"	1	"CLA-EPd-CTX Car3 Glut_1"	"0001 CLA-EPd-CTX Car3 Glut_1"	1	"CLA-EPd-CTX Car3 Glut"	"001 CLA-EPd-CTX Car3 Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"TPE-AI mostly"	NA	"Isocortex:0.9"	"SSs6a:0.11,TEa6a:0.1,AId6a:0.1,GU6a:0.08,TEa5:0.08,CLA:0.06,MOp6a:0.06,AUDv6a:0.05,AUDv5:0.04,VISC6a:0.04,SSp-m6a:0.02,ECT5:0.02,TEa4:0.02,ECT6a:0.02,AId5:0.01"	887	11329	0	"Car3,Satb2,Ccbe1"	"Smoc2,Col24a1,Cntnap3,Ccbe1"	0.44	0.56	""	0.04	0.96	"Glut"	"Glut"
143	4	"0004 CLA-EPd-CTX Car3 Glut_1"	1	"CLA-EPd-CTX Car3 Glut_1"	"0001 CLA-EPd-CTX Car3 Glut_1"	1	"CLA-EPd-CTX Car3 Glut"	"001 CLA-EPd-CTX Car3 Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"iCTX"	NA	"Isocortex:0.96"	"SSs6a:0.23,SSs5:0.09,SSp-bfd6a:0.06,SSp-n6a:0.04,AId6a:0.04,SSp-bfd5:0.04,SSp-m6a:0.04,AUDp5:0.03,AUDv5:0.03,MOp6a:0.03,MOs6a:0.02,AUDv4:0.02,CLA:0.02,AUDd5:0.02,TEa5:0.02,AUDd6a:0.02,VISl5:0.01,SSs4:0.01,AUDp4:0.01,VISp5:0.01,scwm:0.01,SSp-m5:0.01"	705	8629	0	"Car3,Rxfp1,Tspan11"	"Col24a1,Igfbp6,Rspo1,Synpr,Rorb"	0.46	0.54	""	0.04	0.96	"Glut"	"Glut"
131	5	"0005 CLA-EPd-CTX Car3 Glut_2"	2	"CLA-EPd-CTX Car3 Glut_2"	"0002 CLA-EPd-CTX Car3 Glut_2"	1	"CLA-EPd-CTX Car3 Glut"	"001 CLA-EPd-CTX Car3 Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"EPd"	NA	"Isocortex:0.56,CTXsp:0.31"	"EPd:0.2,CLA:0.11,AIp6a:0.06,AId6a:0.06,PIR:0.05,SSs6a:0.05,TEa6a:0.04,AIp5:0.04,VISC6a:0.04,TEa5:0.03,ee:0.03,OLF:0.02,AIv5:0.02,GU6a:0.02,AIv6a:0.02,AUDv5:0.02"	42	1014	0	"Gm45623,Egr2"	"Egr2,Cbln1,Ccn4"	0.65	0.35	""	0.01	0.99	"Glut"	"Glut"
116	6	"0006 IT EP-CLA Glut_1"	3	"IT EP-CLA Glut_1"	"0003 IT EP-CLA Glut_1"	2	"IT EP-CLA Glut"	"002 IT EP-CLA Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"CLA-AI?"	NA	"Isocortex:0.73,CTXsp:0.14"	"CLA:0.12,VISC6a:0.1,GU6a:0.1,ECT6a:0.06,SSs6a:0.06,AIp6a:0.06,AId6a:0.05,TEa6a:0.05,ec:0.05,ECT6b:0.02,VISC6b:0.02,amc:0.02,AUDv6a:0.02,ACAv5:0.02,AIp5:0.01,TEa6b:0.01,AIp6b:0.01,EPd:0.01"	727	1921	0	"Gm6209,C1ql3,Tpbgl,Plpp4,Pdzrn4,Gria1"	"Osr1,C1ql3,Ccdc3,Drd2,Cnih3,Adamts2,Plpp4,Nr4a2"	0.46	0.54	""	0.1	0.9	"Glut"	"Glut"
120	7	"0007 IT EP-CLA Glut_1"	3	"IT EP-CLA Glut_1"	"0003 IT EP-CLA Glut_1"	2	"IT EP-CLA Glut"	"002 IT EP-CLA Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"EPd"	NA	"CTXsp:0.6,Isocortex:0.29"	"EPd:0.39,CLA:0.21,AIp6a:0.1,VISC6a:0.07,GU6a:0.04"	4866	4815	0	"Gm6209,Npsr1,Scube2,Gpr88"	"Osr1,Npsr1,Foxo1,Dchs2,Oprk1"	0.55	0.45	""	0.12	0.88	"Glut"	"Glut"
121	8	"0008 IT EP-CLA Glut_1"	3	"IT EP-CLA Glut_1"	"0003 IT EP-CLA Glut_1"	2	"IT EP-CLA Glut"	"002 IT EP-CLA Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"CLA-EPd an"	NA	"Isocortex:0.68,CTXsp:0.27"	"CLA:0.25,AId6a:0.12,GU6a:0.08,VISC6a:0.05,SSs6a:0.05,AIv5:0.03,MOp6a:0.03,AIv6a:0.03,AIp6a:0.02,ORBl5:0.02,PL6a:0.02,EPd:0.02,ORBm6a:0.01,ACAd6a:0.01,ACAv6a:0.01,CP:0.01,OLF:0.01,SSs6b:0.01,ORBvl5:0.01,TEa6a:0.01,VISC6b:0.01"	850	1622	0	"Gm6209,Satb2,Npsr1,Csrnp1,Ccnb1,Klf5"	"Ccn3,Slc7a11,Gpr88,Nptx2,Chst9,Tox"	0.51	0.49	""	0.09	0.91	"Glut"	"Glut"
122	9	"0009 IT EP-CLA Glut_1"	3	"IT EP-CLA Glut_1"	"0003 IT EP-CLA Glut_1"	2	"IT EP-CLA Glut"	"002 IT EP-CLA Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"EPd an"	NA	"CTXsp:0.43,Isocortex:0.33,OLF:0.23"	"CLA:0.27,OLF:0.19,EPd:0.16,AIv6a:0.08,AIv5:0.08,AId6a:0.05"	539	1628	0	"Gm6209,Npsr1,Cdhr1"	"Npsr1,Slc17a7,Kazald1,Chst9,Rorb,Vwc2l"	0.55	0.45	""	0.04	0.96	"Glut"	"Glut"
125	10	"0010 IT EP-CLA Glut_1"	3	"IT EP-CLA Glut_1"	"0003 IT EP-CLA Glut_1"	2	"IT EP-CLA Glut"	"002 IT EP-CLA Glut"	"IT-ET Glut"	1	"01 IT-ET Glut"	"EPd"	"HZ: close to Car3"	"Isocortex:0.5,CTXsp:0.38"	"EPd:0.19,CLA:0.18,AId6a:0.07,GU6a:0.06,AIp6a:0.05,PIR:0.05,AIv5:0.04,VISC6a:0.04,AIp5:0.03,AIv6a:0.03,OLF:0.03,MOp6a:0.03"	77	364	0	"Osr1,Lcp1,Lepr,Vwc2l"	"Osr1,Kcnip1,Cntnap3,Shisa6,Vwc2l"	0.64	0.36	""	0.02	0.98	"Glut"	"Glut"
