RegionName	MajorRegion	SubRegion	DissectionRegion	MajorRegionColor	SubRegionColor	DissectionRegionColor	DetailRegion	PotentialOverlap	Slice	CEMBAv1
AMY-1	AMY	AMY	7H	#508eda	#508eda	#508eda	"CTXsp,sAMY,COA,NLOT,PAA,TR"		7	FALSE
AMY-2	AMY	AMY	8H	#508eda	#508eda	#a98ae0	"CTXsp,sAMY,COA,NLOT,PAA,TR"		8	FALSE
AMY-3	AMY	AMY	9G	#508eda	#508eda	#7245d9	"CTXsp,sAMY,COA,NLOT,PAA,TR"		9	FALSE
CBN	CB	CBN	16B	#deb34c	#deb34c	#deb34c	"FN,IP,DN"		16	FALSE
CB-1	CB	CBX	14B	#deb34c	#deb34c	#dd8765	CBX		14	FALSE
CB-2	CB	CBX	15B	#deb34c	#deb34c	#df862f	CBX		15	FALSE
CB-3	CB	CBX	16A	#deb34c	#deb34c	#974226	CBX		16	FALSE
CB-4	CB	CBX	17A	#deb34c	#deb34c	#9a7329	CBX		17	FALSE
CB-5	CB	CBX	18A	#deb34c	#deb34c	#dc4928	CBX		18	FALSE
CA-i	HPF	CA1-3	8E	#d62728	#d62728	#FCDAA4	"CA1,CA2,CA3"	"DG,FC"	8	TRUE
CA-ii	HPF	CA1-3	9H	#d62728	#d62728	#DC831E	"CA1,CA2,CA3"	"DG,FC"	9	TRUE
CA-iii	HPF	CA1-3	10E	#d62728	#d62728	#FF6347	"CA1,CA2,CA3,SUB,ProS"	"PA,HATA"	10	TRUE
CA-iv	HPF	CA1-3	11E	#d62728	#d62728	#3C1518	"CA1,CA2,CA3,POST,SUB,ProS"	"DG,HATA"	11	TRUE
DG-3	HPF	DG	10F	#d62728	#d62728	#d62728	"CA3,DG"	"SUB,ProS"	10	TRUE
DG-1	HPF	DG	8J	#d62728	#FFAAAA	#FFAAAA	DG	"CA1,CA2,CA3,FC"	8	TRUE
DG-2	HPF	DG	9J	#d62728	#FFAAAA	#EF486F	DG	"CA1,CA2,CA3,FC"	9	TRUE
DG-4	HPF	DG	11F	#d62728	#FFAAAA	#800000	DG	"CA1,CA2,CA3,SUB,ProS"	11	TRUE
RHP-1	HPF	RHP	10D	#d62728	#d24ecd	#8e338e	ENT		10	FALSE
RHP-2	HPF	RHP	11D	#d62728	#d24ecd	#d24ecd	ENT		11	FALSE
RHP-3	HPF	RHP	12D	#d62728	#d24ecd	#d991c1	ENT		12	FALSE
RHP-4	HPF	RHP	12E	#d62728	#d24ecd	#813f68	SUB		12	FALSE
RHP-5	HPF	RHP	13B	#d62728	#d24ecd	#d34391	ENT		13	FALSE
HY-1	HY	HY	6H	#d68790	#d68790	#d68790	HY		6	FALSE
HY-2	HY	HY	7J	#d68790	#d68791	#8b3841	HY		7	FALSE
HY-3	HY	HY	8K	#d68790	#d68792	#db3f4a	HY		8	FALSE
HY-4	HY	HY	9L	#d68790	#d68793	#d1407a	HY		9	FALSE
ACA-1	Isocortex	ACA	4A	#176CDB	#8c564b	#8c564b	"ACA,PL,ILA,IG"	"MOs,DP,TTd,SH"	4	TRUE
ACA-2	Isocortex	ACA	5A	#176CDB	#8c564b	#5E4035	"ACA,IG"	MOs	5	TRUE
ACA-3	Isocortex	ACA	6A	#176CDB	#8c564b	#231611	"ACA,IG"	MOs	6	TRUE
AI	Isocortex	AI	3D	#176CDB	#A6D634	#A6D634	"AI,CLA"	"ORBI,PIR"	3	TRUE
AUD-1	Isocortex	AUD	9D	#176CDB	#e193cd	#de4885			9	FALSE
AUD-2	Isocortex	AUD	10C	#176CDB	#e193cd	#e193cd			10	FALSE
AUD-3	Isocortex	AUD	11C	#176CDB	#e193cd	#a03b73			11	FALSE
MOp-1	Isocortex	MOp	2C	#176CDB	#176CDB	#399DE5	MOp	"MOs,FRP"	2	TRUE
MOp-2	Isocortex	MOp	3C	#176CDB	#176CDB	#176CDB	MOp	"SSp,GU"	3	TRUE
MOp-3	Isocortex	MOp	4B	#176CDB	#176CDB	#2F538E	MOp	"SSp,MOs"	4	TRUE
MOp-4	Isocortex	MOp	5D	#176CDB	#176CDB	#043D7A	MOp	"Mos,SSp"	5	TRUE
MOs-1	Isocortex	MOs	1A	#176CDB	#6FCAD1	#AFCCEC	"MOs,FRP"	"PL,ACAd,MOp"	1	TRUE
MOs-2	Isocortex	MOs	2B	#176CDB	#6FCAD1	#8EE3F4	MOs	FRP	2	TRUE
MOs-3	Isocortex	MOs	3B	#176CDB	#6FCAD1	#6FCAD1	MOs	ACAd	3	TRUE
ORB	OLF	ORB	1B	#ff7f0e	#c49c94	#c49c94	"ORB,FRP"	"AI,PL"	1	TRUE
PERI-1	Isocortex	"PERI,ECT,TEa"	9F	#176CDB	#666de1	#666de1			9	FALSE
PERI-2	Isocortex	"PERI,ECT,TEa"	11K	#176CDB	#666de1	#5b41a6			11	FALSE
PERI-3	Isocortex	"PERI,ECT,TEa"	12C	#176CDB	#666de1	#57549c			12	FALSE
