subclass_id_label,AllenRegionRate,AllenRegionRateTop3,MajorRegionRate,MajorRegionRateTop3
001 CLA-EPd-CTX Car3 Glut,TEa-PERI-ECT:0.262451386275248;SSs-GU-VISC-AIp:0.191067620122946;CTXsp:0.109961109020198;AId-AIv:0.0940910801656003;AUD:0.06843557897378;VIS:0.0578973779952327;MOp:0.0435328064232844;AId-AIv-AIp:0.0341236984067244;VISl:0.0277255049554636;AUD-TEa-PERI-ECT:0.0186300338727889;PL-ILA-ORB:0.0174382135240246;AI-CLA:0.0139882072512859;OLF:0.013110023836407;SS-GU-VISC:0.011290929619872;VISp:0.00897001630912056;SSp:0.00759001380002509;PTLp:0.00646092083803789;ENT:0.00514364571571948;VISpos:0.00244636808430561;VISm:0.00213273115042027;VISa:0.00181909421653494;VIS-PTLp:0.00100363818843307;MOs-FRP:0.000501819094216535;MO-FRP:0.000125454773554134;TH:6.27273867770669e-05,TEa-PERI-ECT:0.262451386275248;SSs-GU-VISC-AIp:0.191067620122946;CTXsp:0.109961109020198,Isocortex:0.871722494040898;OLF:0.123071132856605;HPF:0.00514364571571948;TH:6.27273867770669e-05,Isocortex:0.871722494040898;OLF:0.123071132856605;HPF:0.00514364571571948
002 IT EP-CLA Glut,CTXsp:0.615179416573445;AI-CLA:0.0849324498752259;ENT:0.0617847001118665;SSs-GU-VISC-AIp:0.0533516909043972;PL-ILA-ORB:0.0475002151277859;OLF:0.039841665949574;TEa-PERI-ECT:0.0333878323724292;AId-AIv:0.0234059031064452;AId-AIv-AIp:0.0108424404096033;AUD:0.00456070906118234;SS-GU-VISC:0.00430255571809655;MOp:0.00395835126064883;VIS:0.00344204457447724;TH:0.00240943120213407;STR:0.00223732897341021;ACA:0.00189312451596248;MOs-FRP:0.00154892005851476;VISl:0.00146286894415283;AUD-TEa-PERI-ECT:0.000946562257981241;SSp:0.000774460029257379;VISm:0.000602357800533517;VISp:0.000602357800533517;PTLp:0.000258153343085793;VISpos:0.000258153343085793;CNU:0.000172102228723862;VISa:0.000172102228723862;MO-FRP:8.6051114361931e-05;VIS-PTLp:8.6051114361931e-05,CTXsp:0.615179416573445;AI-CLA:0.0849324498752259;ENT:0.0617847001118665,OLF:0.655021082523019;Isocortex:0.278375354960847;HPF:0.0617847001118665;TH:0.00240943120213407;STR:0.00223732897341021;CNU:0.000172102228723862,OLF:0.655021082523019;Isocortex:0.278375354960847;HPF:0.0617847001118665
003 L5/6 IT TPE-ENT Glut,TEa-PERI-ECT:0.43453483402194;ENT:0.259866077788859;SSs-GU-VISC-AIp:0.0799259153725602;PL-ILA-ORB:0.0518592392078644;AI-CLA:0.0457330104003419;AUD-TEa-PERI-ECT:0.0255022082917795;AId-AIv:0.0208006838580994;CTXsp:0.0165265707365722;AUD:0.0115401054281237;PAR-POST-PRE-SUB-ProS:0.0102578714916655;AId-AIv-AIp:0.00926057842997578;VIS:0.00812081493090184;ACA:0.00512893574583274;RSP:0.0049864653084485;MOp:0.00470152443368001;SS-GU-VISC:0.00370423137199031;VISm:0.00185211568599516;OLF:0.00170964524861091;VIS-PTLp:0.00170964524861091;VISl:0.00142470437384243;MO-FRP:0.000284940874768486;MOs-FRP:0.000284940874768486;PTLp:0.000142470437384243;VISa:0.000142470437384243,TEa-PERI-ECT:0.43453483402194;ENT:0.259866077788859;SSs-GU-VISC-AIp:0.0799259153725602,Isocortex:0.711639834734293;HPF:0.270123949280524;OLF:0.0182362159851831,Isocortex:0.711639834734293;HPF:0.270123949280524;OLF:0.0182362159851831
004 L6 IT CTX Glut,VIS:0.251636342666013;MOp:0.194328306565555;PL-ILA-ORB:0.113289697528906;VISp:0.0564285920244514;ACA:0.0544101957844353;SSs-GU-VISC-AIp:0.0472881404803783;SSp:0.0381332718203051;RSP:0.0359130359562873;VISl:0.0294830022202359;VISm:0.025994060148208;AUD:0.0229232144401834;TEa-PERI-ECT:0.019001758888152;PTLp:0.0162336726161299;MOs-FRP:0.0151812231481214;AId-AIv:0.014128773680113;MO-FRP:0.0121103774400969;SS-GU-VISC:0.0116057783800928;AI-CLA:0.00700671837605605;VIS-PTLp:0.00664629047605317;VISpos:0.00575242928404602;VISa:0.00533433292004267;CTXsp:0.00493065367203945;AUD-TEa-PERI-ECT:0.00459906000403679;AId-AIv-AIp:0.00344569072402757;ENT:0.00209048182001672;STR:0.00111011793200888;PAR-POST-PRE-SUB-ProS:0.000922695424007382;OLF:4.3251348000346e-05;CNU:1.44171160001153e-05;TH:1.44171160001153e-05,VIS:0.251636342666013;MOp:0.194328306565555;PL-ILA-ORB:0.113289697528906,Isocortex:0.990873965571927;OLF:0.00497390502003979;HPF:0.00301317724402411;STR:0.00111011793200888;CNU:1.44171160001153e-05;TH:1.44171160001153e-05,Isocortex:0.990873965571927;OLF:0.00497390502003979;HPF:0.00301317724402411
005 L5 IT CTX Glut,MOp:0.279402523323827;VIS:0.204307052738435;RSP:0.136293324309953;ACA:0.0980325808478755;PL-ILA-ORB:0.0682554261130178;VISp:0.0357470875429013;SSp:0.0225503939672258;SSs-GU-VISC-AIp:0.0211243776284623;VISl:0.0203267752694929;VISm:0.0190941170783584;MO-FRP:0.0152994634311403;PTLp:0.0134383912602117;SS-GU-VISC:0.01329337264949;AUD:0.00887030502247788;MOs-FRP:0.00800019335814763;VIS-PTLp:0.00751679798907526;AI-CLA:0.00563155604969304;VISa:0.00502731183835259;AId-AIv:0.0043747280901049;VISpos:0.00413303040556871;TEa-PERI-ECT:0.00391550248948615;AUD-TEa-PERI-ECT:0.00364963503649635;AId-AIv-AIp:0.000966790738144729;ENT:0.00041088606371151;CTXsp:0.000193358147628946;PAR-POST-PRE-SUB-ProS:0.000120848842268091;OLF:2.41697684536182e-05,MOp:0.279402523323827;VIS:0.204307052738435;RSP:0.136293324309953,Isocortex:0.999250737177938;HPF:0.000531734905979601;OLF:0.000217527916082564,Isocortex:0.999250737177938;HPF:0.000531734905979601;OLF:0.000217527916082564
006 L4/5 IT CTX Glut,VIS:0.259364531079134;MOp:0.22155491138845;SSp:0.0840855045043481;VISp:0.0747209734252139;SSs-GU-VISC-AIp:0.0618979014424329;PL-ILA-ORB:0.0337956293069032;AUD:0.0295559875718179;VISm:0.0288573362725868;VISl:0.028453767509677;TEa-PERI-ECT:0.0216929058686709;PTLp:0.0214932912117478;RSP:0.0192454565968305;MOs-FRP:0.0183819062331846;SS-GU-VISC:0.0166374477096388;ACA:0.0156654111194043;VIS-PTLp:0.0107184391869608;AId-AIv:0.0107054208397702;MO-FRP:0.00944264116227804;AI-CLA:0.00846192567391644;AUD-TEa-PERI-ECT:0.00749422853274548;VISpos:0.00717310930204301;AId-AIv-AIp:0.00527243061220947;VISa:0.0049599902796341;PAR-POST-PRE-SUB-ProS:0.000225651351304438;ENT:0.000134522920969954;CTXsp:4.33944906354689e-06;OLF:4.33944906354689e-06,VIS:0.259364531079134;MOp:0.22155491138845;SSp:0.0840855045043481,Isocortex:0.999631146829599;HPF:0.000360174272274392;OLF:8.67889812709378e-06,Isocortex:0.999631146829599;HPF:0.000360174272274392;OLF:8.67889812709378e-06
007 L2/3 IT CTX Glut,VIS:0.26209627755829;MOp:0.175529848695866;RSP:0.0633260381434215;TEa-PERI-ECT:0.0578972799363329;SSs-GU-VISC-AIp:0.0562866535921705;VISp:0.0506968327506656;PL-ILA-ORB:0.0479682422382022;ACA:0.0401709158779335;SSp:0.0347421576708448;AUD:0.0234109276260315;VISl:0.0232877620820661;AI-CLA:0.0208433997479844;VISm:0.0199433438497759;PTLp:0.0177263640583994;SS-GU-VISC:0.0165326057091967;MO-FRP:0.0160683663511734;MOs-FRP:0.0156704469014391;VIS-PTLp:0.0147324939127798;AUD-TEa-PERI-ECT:0.0135482098361898;AId-AIv:0.0104216998739922;VISa:0.00610143156259178;VISpos:0.00574140920330842;AId-AIv-AIp:0.00526769557267241;OLF:0.000871633080370255;ENT:0.000701096173341292;PAR-POST-PRE-SUB-ProS:0.000274753905768885;CTXsp:0.000123165543965362;PONS:9.47427261272016e-06;STR:9.47427261272016e-06,VIS:0.26209627755829;MOp:0.175529848695866;RSP:0.0633260381434215,Isocortex:0.998010402751329;OLF:0.000994798624335617;HPF:0.000975850079110176;Pons:9.47427261272016e-06;STR:9.47427261272016e-06,Isocortex:0.998010402751329;OLF:0.000994798624335617;HPF:0.000975850079110176
008 L2/3 IT ENT Glut,ENT:0.95148132245599;TEa-PERI-ECT:0.0360669815371404;OLF:0.0104121940747102;CTXsp:0.000966079862601975;AUD-TEa-PERI-ECT:0.000751395448690425;AI-CLA:0.000107342206955775;PAR-POST-PRE-SUB-ProS:0.000107342206955775;PL-ILA-ORB:0.000107342206955775,ENT:0.95148132245599;TEa-PERI-ECT:0.0360669815371404;OLF:0.0104121940747102,HPF:0.951588664662945;Isocortex:0.0370330613997424;OLF:0.0113782739373122,HPF:0.951588664662945;Isocortex:0.0370330613997424;OLF:0.0113782739373122
009 L2/3 IT PIR-ENTl Glut,OLF:0.779374568866406;ENT:0.151452441174216;CTXsp:0.0605503180807849;AI-CLA:0.00241434812600598;STR:0.00183950333409979;CNU:0.001456273472829;TEa-PERI-ECT:0.00118801256993945;SSs-GU-VISC-AIp:0.000498198819652027;PL-ILA-ORB:0.00038322986127079;SS-GU-VISC:0.000344906875143711;AId-AIv:0.000191614930635395;AUD-TEa-PERI-ECT:0.000153291944508316;AId-AIv-AIp:7.6645972254158e-05;MOs-FRP:3.8322986127079e-05;VISpos:3.8322986127079e-05,OLF:0.779374568866406;ENT:0.151452441174216;CTXsp:0.0605503180807849,OLF:0.839924886947191;HPF:0.151452441174216;Isocortex:0.00532689507166398;STR:0.00183950333409979;CNU:0.001456273472829,OLF:0.839924886947191;HPF:0.151452441174216;Isocortex:0.00532689507166398
010 IT AON-TT-DP Glut,OLF:0.958370904718966;PL-ILA-ORB:0.0167568379921852;STR:0.0147279831680192;ENT:0.0034565674782086;ACA:0.00300571085061617;CTXsp:0.00135256988277728;CNU:0.00112714156898106;TEa-PERI-ECT:0.000450856627592426;AI-CLA:0.000375713856327021;AId-AIv:0.000150285542530809;SSs-GU-VISC-AIp:0.000150285542530809;VIS:7.51427712654043e-05,OLF:0.958370904718966;PL-ILA-ORB:0.0167568379921852;STR:0.0147279831680192,OLF:0.959723474601743;Isocortex:0.0209648331830478;STR:0.0147279831680192;HPF:0.0034565674782086;CNU:0.00112714156898106,OLF:0.959723474601743;Isocortex:0.0209648331830478;STR:0.0147279831680192
