L4,MajorRegionRate,MajorRegionRateTop3
1-1-1-1,Isocortex:0.340471988753627;TH:0.134687285017797;HPF:0.122513684084587;MB:0.0887745640534801;OLF:0.074058564890976;Pons:0.0617952322555559;STR:0.0542577692698831;HY:0.0450752250770197;PAL:0.0310471689647953;MY:0.0289833398139563;AMY:0.0169892022851673;CB:0.00134597553315586,Isocortex:0.340471988753627;TH:0.134687285017797;HPF:0.122513684084587
1-1-1-2,Isocortex:0.303895900902661;TH:0.151928412332461;MB:0.124184283537181;HPF:0.104802469618225;PAL:0.0840529873783752;STR:0.0733851744754015;OLF:0.0412645070532609;HY:0.0388027040756516;Pons:0.0352858426790669;MY:0.0294634832558321;AMY:0.0114884138955101;CB:0.00144582079637373,Isocortex:0.303895900902661;TH:0.151928412332461;MB:0.124184283537181
1-1-2-1,Isocortex:0.276520120170947;TH:0.157682054753946;HPF:0.146743959717344;STR:0.114373968603224;PAL:0.0794651546566242;HY:0.0757627046925909;OLF:0.0524690052045868;MB:0.0505014175094148;AMY:0.0244361697626201;Pons:0.0131172513011467;MY:0.00806076249312402;CB:0.000867431134430669,Isocortex:0.276520120170947;TH:0.157682054753946;HPF:0.146743959717344
1-10-1-1,Isocortex:0.274992919852733;MB:0.126876239025772;TH:0.124893797790994;HPF:0.111299915038233;STR:0.0727839139054092;OLF:0.0671197960917587;PAL:0.0648541489662985;Pons:0.0617388841687907;MY:0.0450297366185217;HY:0.0300198244123478;AMY:0.0152931180968564;CB:0.00509770603228547,Isocortex:0.274992919852733;MB:0.126876239025772;TH:0.124893797790994
1-11-1-1,Isocortex:0.247782546494993;TH:0.129613733905579;MB:0.123891273247496;HPF:0.111874105865522;STR:0.0775393419170243;Pons:0.0752503576537911;PAL:0.063519313304721;OLF:0.0623748211731044;MY:0.0466380543633763;HY:0.0389127324749642;AMY:0.021173104434907;CB:0.00143061516452074,Isocortex:0.247782546494993;TH:0.129613733905579;MB:0.123891273247496
1-12-1-1,Isocortex:0.227873563218391;MB:0.179022988505747;TH:0.127586206896552;HPF:0.0931034482758621;Pons:0.078448275862069;PAL:0.0701149425287356;MY:0.0683908045977012;STR:0.0560344827586207;OLF:0.0436781609195402;HY:0.0344827586206897;AMY:0.0181034482758621;CB:0.00316091954022989,Isocortex:0.227873563218391;MB:0.179022988505747;TH:0.127586206896552
1-13-1-1,Isocortex:0.23642266824085;MB:0.16469893742621;TH:0.130165289256198;HPF:0.0917945690672963;PAL:0.0850059031877214;Pons:0.0690672963400236;STR:0.0634592680047226;MY:0.0510625737898465;OLF:0.0436835891381346;HY:0.0413223140495868;AMY:0.0203659976387249;CB:0.00295159386068477,Isocortex:0.23642266824085;MB:0.16469893742621;TH:0.130165289256198
1-14-1-1,Isocortex:0.237386018237082;TH:0.147112462006079;MB:0.143768996960486;HPF:0.107294832826748;Pons:0.0689969604863222;PAL:0.0680851063829787;STR:0.0656534954407295;MY:0.0525835866261398;HY:0.0449848024316109;OLF:0.0446808510638298;AMY:0.0173252279635258;CB:0.00212765957446809,Isocortex:0.237386018237082;TH:0.147112462006079;MB:0.143768996960486
1-15-1-1,Isocortex:0.232326378075366;TH:0.147306135160386;MB:0.135160386172532;HPF:0.104640298972283;PAL:0.0734973528495796;STR:0.0700716287760822;Pons:0.0641544690127686;MY:0.0619744627841794;OLF:0.0495172843350981;HY:0.0426658361881034;AMY:0.0171286203674868;CB:0.00155714730613516,Isocortex:0.232326378075366;TH:0.147306135160386;MB:0.135160386172532
1-16-1-1,Isocortex:0.260059860325906;TH:0.14632524110409;MB:0.128367143332225;HPF:0.110741602926505;STR:0.0801463252411041;Pons:0.067509145327569;PAL:0.0588626538077818;OLF:0.0512138343864317;MY:0.0435650149650815;HY:0.0309278350515464;AMY:0.0212836714333222;CB:0.00099767209843698,Isocortex:0.260059860325906;TH:0.14632524110409;MB:0.128367143332225
1-17-1-1,Isocortex:0.266736768314055;TH:0.143708377146863;MB:0.138450753592709;HPF:0.115317209954434;STR:0.0679985979670522;PAL:0.0595864002804066;OLF:0.0581843673326323;Pons:0.0497721696459867;HY:0.0431125131440589;MY:0.0396074307746232;AMY:0.0161233788994041;CB:0.00140203294777427,Isocortex:0.266736768314055;TH:0.143708377146863;MB:0.138450753592709
1-18-1-1,Isocortex:0.354416961130742;TH:0.157950530035336;HPF:0.112720848056537;MB:0.0833922261484099;STR:0.0653710247349823;OLF:0.0565371024734982;Pons:0.0416961130742049;MY:0.0402826855123675;PAL:0.0402826855123675;HY:0.0346289752650177;AMY:0.0113074204946996;CB:0.00141342756183746,Isocortex:0.354416961130742;TH:0.157950530035336;HPF:0.112720848056537
