ens,symbol,allenGenes
ENSMUSG00000051951,Xkr4,Xkr4
ENSMUSG00000089699,Gm1992,Gm1992
ENSMUSG00000102331,Gm19938,Gm19938
ENSMUSG00000102343,Gm37381,Gm37381
ENSMUSG00000025900,Rp1,Rp1
ENSMUSG00000025902,Sox17,Sox17
ENSMUSG00000104238,Gm37587,Gm37587
ENSMUSG00000104328,Gm37323,Gm37323
ENSMUSG00000033845,Mrpl15,Mrpl15
ENSMUSG00000025903,Lypla1,Lypla1
ENSMUSG00000033813,Tcea1,Tcea1
ENSMUSG00000002459,Rgs20,Rgs20
ENSMUSG00000085623,Gm16041,Gm16041
ENSMUSG00000033793,Atp6v1h,Atp6v1h
ENSMUSG00000025905,Oprk1,Oprk1
ENSMUSG00000033774,Npbwr1,Npbwr1
ENSMUSG00000025907,Rb1cc1,Rb1cc1
ENSMUSG00000090031,4732440D04Rik,4732440D04Rik
ENSMUSG00000087247,Alkal1,Alkal1
ENSMUSG00000033740,St18,St18
ENSMUSG00000051285,Pcmtd1,Pcmtd1
ENSMUSG00000097797,Gm26901,Gm26901
ENSMUSG00000103067,Gm30414,Gm30414
ENSMUSG00000025909,Sntg1,Sntg1
ENSMUSG00000061024,Rrs1,Rrs1
ENSMUSG00000025911,Adhfe1,Adhfe1
ENSMUSG00000079671,2610203C22Rik,2610203C22Rik
ENSMUSG00000067879,Vxn,Vxn
ENSMUSG00000099827,Gm29520,Gm29520
ENSMUSG00000025912,Mybl1,Mybl1
ENSMUSG00000045210,Vcpip1,Vcpip1
ENSMUSG00000097893,1700034P13Rik,1700034P13Rik
ENSMUSG00000025915,Sgk3,Sgk3
ENSMUSG00000046101,Mcmdc2,Mcmdc2
ENSMUSG00000098234,Snhg6,Snhg6
ENSMUSG00000099032,Tcf24,Tcf24
ENSMUSG00000025916,Ppp1r42,Ppp1r42
ENSMUSG00000087199,Gm15818,Gm15818
ENSMUSG00000025917,Cops5,Cops5
ENSMUSG00000056763,Cspp1,Cspp1
ENSMUSG00000067851,Arfgef1,Arfgef1
ENSMUSG00000042501,Cpa6,Cpa6
ENSMUSG00000048960,Prex2,Prex2
ENSMUSG00000057715,A830018L16Rik,A830018L16Rik
ENSMUSG00000097171,Gm17644,Gm17644
ENSMUSG00000101314,Gm29663,Gm29663
ENSMUSG00000016918,Sulf1,Sulf1
ENSMUSG00000025938,Slco5a1,Slco5a1
ENSMUSG00000099498,Gm29283,Gm29283
ENSMUSG00000042414,Prdm14,Prdm14
ENSMUSG00000005886,Ncoa2,Ncoa2
ENSMUSG00000101476,Gm29570,Gm29570
ENSMUSG00000025935,Tram1,Tram1
ENSMUSG00000025937,Lactb2,Lactb2
ENSMUSG00000067813,Xkr9,Xkr9
ENSMUSG00000025932,Eya1,Eya1
ENSMUSG00000054493,Gm9947,Gm9947
ENSMUSG00000025930,Msc,Msc
ENSMUSG00000032769,Trpa1,Trpa1
ENSMUSG00000092083,Kcnb2,Kcnb2
ENSMUSG00000025925,Terf1,Terf1
ENSMUSG00000032719,Sbspon,Sbspon
ENSMUSG00000067795,4930444P10Rik,4930444P10Rik
ENSMUSG00000043716,Rpl7,Rpl7
ENSMUSG00000025921,Rdh10,Rdh10
ENSMUSG00000100868,Gm28095,Gm28095
ENSMUSG00000025920,Stau2,Stau2
ENSMUSG00000089982,Gm7568,Gm7568
ENSMUSG00000025939,Ube2w,Ube2w
ENSMUSG00000079658,Eloc,Eloc
ENSMUSG00000097744,D030040B21Rik,D030040B21Rik
ENSMUSG00000025940,Tmem70,Tmem70
ENSMUSG00000025779,Ly96,Ly96
ENSMUSG00000101640,Gm28376,Gm28376
ENSMUSG00000042686,Jph1,Jph1
ENSMUSG00000100110,Gm28783,Gm28783
ENSMUSG00000025777,Gdap1,Gdap1
ENSMUSG00000099899,Gm28784,Gm28784
ENSMUSG00000067780,Pi15,Pi15
ENSMUSG00000100053,Gm28154,Gm28154
ENSMUSG00000085125,Gm16070,Gm16070
ENSMUSG00000025776,Crispld1,Crispld1
ENSMUSG00000099895,Gm28153,Gm28153
ENSMUSG00000109887,Gm28756,Gm28756
ENSMUSG00000025774,Crisp4,Crisp4
ENSMUSG00000073735,Defb18,Defb18
ENSMUSG00000067773,Defb41,Defb41
ENSMUSG00000089787,Gm15825,Gm15825
ENSMUSG00000042596,Tfap2d,Tfap2d
ENSMUSG00000025927,Tfap2b,Tfap2b
ENSMUSG00000100538,Gm28340,Gm28340
ENSMUSG00000043760,Pkhd1,Pkhd1
ENSMUSG00000089914,4930486I03Rik,4930486I03Rik
ENSMUSG00000099906,Gm28653,Gm28653
ENSMUSG00000025929,Il17a,Il17a
ENSMUSG00000041872,Il17f,Il17f
ENSMUSG00000041859,Mcm3,Mcm3
ENSMUSG00000102121,Gm28065,Gm28065
ENSMUSG00000097934,6720483E21Rik,6720483E21Rik
ENSMUSG00000025931,Paqr8,Paqr8
ENSMUSG00000041809,Efhc1,Efhc1
ENSMUSG00000041779,Tram2,Tram2
ENSMUSG00000099971,Gm28287,Gm28287
ENSMUSG00000025933,Tmem14a,Tmem14a
ENSMUSG00000025934,Gsta3,Gsta3
ENSMUSG00000099343,Gm28836,Gm28836
ENSMUSG00000067750,Khdc1a,Khdc1a
ENSMUSG00000041722,Khdc1c,Khdc1c
ENSMUSG00000085079,Khdc1b,Khdc1b
ENSMUSG00000028033,Kcnq5,Kcnq5
ENSMUSG00000041670,Rims1,Rims1
ENSMUSG00000101227,Gm29506,Gm29506
ENSMUSG00000073730,4933415F23Rik,4933415F23Rik
ENSMUSG00000097970,Gm27028,Gm27028
ENSMUSG00000100775,Gm29107,Gm29107
ENSMUSG00000026158,Ogfrl1,Ogfrl1
ENSMUSG00000099503,Gm28822,Gm28822
ENSMUSG00000026156,B3gat2,B3gat2
ENSMUSG00000026155,Smap1,Smap1
ENSMUSG00000026154,Sdhaf4,Sdhaf4
ENSMUSG00000026153,Fam135a,Fam135a
ENSMUSG00000026147,Col9a1,Col9a1
ENSMUSG00000026141,Col19a1,Col19a1
ENSMUSG00000073725,Lmbrd1,Lmbrd1
ENSMUSG00000100483,Gm28237,Gm28237
ENSMUSG00000099392,Gm29414,Gm29414
ENSMUSG00000033569,Adgrb3,Adgrb3
ENSMUSG00000073722,4931408C20Rik,4931408C20Rik
