r,r_s
CLA-EPd-CTX_Car3_Glut,Telencephalon,0.999937272613222
IT_EP-CLA_Glut,Telencephalon,0.995181137595733
L5-6_IT_TPE-ENT_Glut,Telencephalon,1
L6_IT_CTX_Glut,Telencephalon,0.998861047835991
L5_IT_CTX_Glut,Telencephalon,1
L4-5_IT_CTX_Glut,Telencephalon,1
L2-3_IT_CTX_Glut,Telencephalon,0.999981051454775
L2-3_IT_ENT_Glut,Telencephalon,1
L2-3_IT_PIR-ENTl_Glut,Telencephalon,0.996704223193071
IT_AON-TT-DP_Glut,Telencephalon,0.99541629095281
L2_IT_ENT-po_Glut,Telencephalon,1
MEA_Slc17a7_Glut,Telencephalon,0.992865816636308
COAp_Grxcr2_Glut,Telencephalon,1
LA-BLA-BMA-PA_Glut,Telencephalon,0.999924817682881
ENTmv-PA-COAp_Glut,Telencephalon,0.999999999999999
CA1-ProS_Glut,Telencephalon,0.995192845164896
CA3_Glut,Telencephalon,0.993262752646776
L2_IT_PPP-APr_Glut,Telencephalon,1
L2-3_IT_PPP_Glut,Telencephalon,0.999814068794546
L2-3_IT_RSP_Glut,Telencephalon,1
L4_RSP-ACA_Glut,Telencephalon,1
L5_ET_CTX_Glut,Telencephalon,0.999941124521637
SUB-ProS_Glut,Telencephalon,1
L5_PPP_Glut,Telencephalon,1
CA2-FC-IG_Glut,Telencephalon,0.990506329113924
NLOT_Rho_Glut,Telencephalon,1
L6b_EPd_Glut,Telencephalon,0.991991991991992
L6b-CT_ENT_Glut,Telencephalon,1
L6b_CTX_Glut,Telencephalon,0.996842878120411
L6_CT_CTX_Glut,Telencephalon,0.998549242514329
CT_SUB_Glut,Telencephalon,1
L5_NP_CTX_Glut,Telencephalon,0.999407395701643
NP_SUB_Glut,Telencephalon,1
NP_PPP_Glut,Telencephalon,1
OB_Eomes_Ms4a15_Glut,Telencephalon,0.995955510616785
HPF_CR_Glut,Telencephalon,0.828667413213885
DG_Glut,Telencephalon,0.999390265772389
DG-PIR_Ex_IMN,Telencephalon,0.986286919831224
OB_Meis2_Thsd7b_Gaba,Telencephalon,0.981380915438324
OB_Trdn_Gaba,Telencephalon,0.999542752629172
OB-in_Frmd7_Gaba,Telencephalon,0.999714192389352
OB-out_Frmd7_Gaba,Telencephalon,0.997495129418313
OB-mi_Frmd7_Gaba,Telencephalon,0.98371335504886
OB_Dopa-Gaba,Telencephalon,0.988786952089704
OB-STR-CTX_Inh_IMN,Telencephalon,0.99227981723649
Vip_Gaba,Telencephalon,0.988382789707467
Sncg_Gaba,Telencephalon,0.991720250154144
RHP-COA_Ndnf_Gaba,Telencephalon,0.971135343168699
Lamp5_Gaba,Telencephalon,0.985631019543061
Lamp5_Lhx6_Gaba,Telencephalon,0.987299604413908
Pvalb_chandelier_Gaba,Telencephalon,0.984706462752837
Pvalb_Gaba,Telencephalon,0.997552064303982
Sst_Gaba,Telencephalon,0.996261954463809
STR_Prox1_Lhx6_Gaba,Telencephalon,0.965461847389558
STR_Lhx8_Gaba,Telencephalon,0.83192261185006
Sst_Chodl_Gaba,Telencephalon,0.854947166186359
